stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2011,4212,"ROUTE 50 @ CHANTILLY RD",,38.890497,-77.422310,,,,,,0
2012,4213,"ROUTE 50 @ ALDER WOODS DR",,38.873163,-77.376539,,,,,,0
2013,4214,"ROUTE 50 @ DORFORTH DR",,38.872389,-77.375597,,,,,,0
2014,4215,"ROUTE 50 @ ELMWOOD ST",,38.892130,-77.426581,,,,,,0
2015,4216,"ROUTE 50 @ GALESBURY LN",,38.889254,-77.418086,,,,,,0
2016,4217,"ROUTE 50 @ GALESBURY LN",,38.889057,-77.418619,,,,,,0
2017,4218,"ROUTE 50 @ DORFORTH DR W",,38.873495,-77.378384,,,,,,0
2018,4219,"ROUTE 50 @ LEES CORNER RD",,38.887565,-77.414019,,,,,,0
2019,4220,"ROUTE 50 @ LEES CORNER RD",,38.886959,-77.413185,,,,,,0
2021,4222,"ROUTE 50 @ MEADOWLAND DR",,38.891955,-77.424985,,,,,,0
2022,4223,"ROUTE 50 @ STRINGFELLOW RD",,38.884185,-77.404995,,,,,,0
2023,4224,"ROUTE 50 @ WALNEY RD",,38.894406,-77.432352,,,,,,0
2024,4225,"ROUTE 50 @ WESTFAX DR",,38.903352,-77.454417,,,,,,0
2025,4226,"LIL ROCKY RUN @ BRADDOCK CREEK RD",,38.832879,-77.424361,,,,,,0
2029,4230,"LITTLE ROCKY RUN CIR @ ROCKTON CT",,38.831409,-77.425103,,,,,,0
2030,4231,"LIL ROCKY RUN CIR @ SUNSET RIDGE RD",,38.830130,-77.424890,,,,,,0
2031,4232,"LIL ROCKY RUN CIR @ WILD BROOK CT",,38.833589,-77.423691,,,,,,0
2032,4233,"NEW BRADDOCK RD @ FEDERATION DR",,38.827177,-77.434160,,,,,,0
2037,4239,"NEWTON PATENT DR @ AWBREY PATENT DR",,38.844783,-77.443142,,,,,,0
2038,4240,"NEWTON PATENT DR @ NEWTON TAVERN CT",,38.846626,-77.439647,,,,,,0
2039,4241,"NEWTON PATENT DR @ RED HOUSE DR",,38.845342,-77.440837,,,,,,0
2042,4246,"14280 PARK MEADOW DR",,38.873638,-77.440029,,,,,,0
2043,4247,"PARK MEADOW DR @ MEADOW WOOD LA",,38.871748,-77.439278,,,,,,0
2044,4248,"WESTFIELDS BLVD @ BRADDOCK RIDGE DR",,38.857333,-77.449806,,,,,,0
2054,4259,"SAINT GERMAIN DR @ GOLDEN OAK DR",,38.835366,-77.447858,,,,,,0
2055,4260,"SAINT GERMAIN DR @ TURIN LA",,38.836527,-77.446009,,,,,,0
2056,4261,"SAINT GERMAIN DR @ STRASBURG DR",,38.837282,-77.443942,,,,,,0
2061,4268,"STRINGFELLOW RD @ WESTBOOK DR",,38.850494,-77.402690,,,,,,1
2064,4271,"STONE RD @ BILLINGSGATE LA",,38.845960,-77.453750,,,,,,0
2065,4272,"STONE RD @ BILLINGSGATE LA",,38.845376,-77.453624,,,,,,0
2066,4273,"STRINGFELLOW RD @ CORALBERRY D",,38.896175,-77.401439,,,,,,0
2067,4274,"STRINGFELLOW RD @ CORALBERRY D",,38.895934,-77.401330,,,,,,0
2068,4275,"STRINGFELLOW RD @ JASPER RD",,38.886870,-77.405630,,,,,,0
2069,4276,"STRINGFELLOW RD @ JASPER RD",,38.886902,-77.405466,,,,,,0
2070,4277,"STONE RD @ SULLY PARK DR",,38.850123,-77.452712,,,,,,1
2071,4278,"STONE RD @ BRADDOCK RD",,38.852709,-77.451312,,,,,,0
2072,4279,"STRINGFELLOW RD @ WESTBROOK DR",,38.850587,-77.402413,,,,,,1
2080,4288,"TRINITY PKWY @ 5895 TRINITY PKWY",,38.840446,-77.441109,,,,,,0
2081,4289,"TRINITY PKWY @ 5875 TRINITY PKWY",,38.841964,-77.439278,,,,,,0
2082,4291,"TRINITY PKWY @ TRINITY PL",,38.840503,-77.436063,,,,,,0
2083,4292,"TRINITY PKWY @ WOOD MEADOW WAY",,38.842050,-77.435873,,,,,,0
2084,4293,"TRINITY PKWY @ WOOD MEADOW WAY",,38.842343,-77.435702,,,,,,0
2085,4294,"5800 TRINITY PKWY",,38.842770,-77.438550,,,,,,0
2086,4295,"UNION MILL RD @ BRADDOCK RD",,38.834497,-77.411814,,,,,,1
2087,4296,"UNION MILL RD @ TREY LA",,38.833811,-77.411344,,,,,,0
2088,4297,"WALNEY RD @ BRENTWALL DR",,38.874339,-77.430509,,,,,,1
2089,4298,"WALNEY RD @ WALBERN DR",,38.872462,-77.429832,,,,,,1
2090,4299,"WALNEY RD @ FILLINGAME DR",,38.872230,-77.429540,,,,,,1
2091,4300,"WALNEY RD @ LEETON CIR",,38.874486,-77.430286,,,,,,1
2092,4301,"WALNEY RD @ WAVERLY CROSSING WAY",,38.876615,-77.432250,,,,,,0
2093,4302,"WALNEY RD @ WAVERLY CROSSING LN",,38.875885,-77.431780,,,,,,0
2094,4303,"WESTFIELDS BLVD @ SEQUOIA FARMS DR",,38.867282,-77.448244,,,,,,0
2095,4304,"WESTFIELDS BLVD @ SULLY STATION DR",,38.866529,-77.448520,,,,,,0
2096,4305,"WHITE GRANITE DR @ CHAIN BRIDGE RD",,38.874657,-77.306283,,,,,,0
2097,4306,"WHITE GRANITE DR @ CHAIN BRIDGE RD",,38.874344,-77.305846,,,,,,0
2099,4310,"SINGLETONS WAY @ GEORGE BAYLOR DR",,38.828940,-77.430990,,,,,,1
2100,4312,"ROUTE 50 @ FAIR RIDGE DR",,38.870556,-77.369800,,,,,,0
2101,4314,"BACKLICK NORTH PARK AND RIDE",,38.769729,-77.183879,,,,,,0
2102,4316,"GREENSBORO DR @ INTERNATIONAL DR",,38.922604,-77.227616,,,,,,0
2104,4319,"HERNDON METRO BAY B",,38.951612,-77.383037,,,,,,0
2105,4648,"GUINEA RD @ BURKE RD",,38.805990,-77.281000,,,,,,0
2106,4664,"GUINEA RD @ QUEENS WOODS DR",,38.810370,-77.273740,,,,,,0
2110,4748,"TOWER DR @ TOWER DR",,38.772154,-77.086195,,,,,,0
2111,4749,"TOWER DR @ TOWER DR",,38.772340,-77.086350,,,,,,0
2112,4780,"COLUMBIA PIKE @ ANNANDALE CTR DR",,38.831853,-77.192827,,,,,,0
2114,5008,"SULLY STATION DR @ WOODFORD DR",,38.867026,-77.450117,,,,,,1
2115,5009,"SULLY STATION DR @ FARMING WAY",,38.869040,-77.453380,,,,,,1
2116,5010,"SULLY STATION DR @ GLEN MEADOW DR",,38.868950,-77.456440,,,,,,0
2117,5011,"SULLY STATION DR @ SUN MEADOW DR",,38.866678,-77.459309,,,,,,1
2118,5012,"SULLY STATION DR @ BRADDOCK RD",,38.864830,-77.459960,,,,,,1
2119,5015,"SULLY STATION DR @ BRADDOCK RD",,38.864671,-77.459985,,,,,,1
2120,5016,"SULLY STATION DR @ WINDRIFT CT",,38.867110,-77.458900,,,,,,1
2121,5017,"SULLY STATION DR @ GLEN MEADOW RD",,38.868680,-77.456890,,,,,,0
2122,5018,"SULLY STATION DR @ FARMING WAY",,38.868940,-77.453590,,,,,,1
2123,5019,"SULLY STATION DR @ GLEN MEADOW RD",,38.866699,-77.449866,,,,,,0
2124,5020,"STONECROFT BLVD AT SULLY GOVT CTR",,38.871280,-77.450978,,,,,,0
2125,522,"WAKEFIELD DR @ POTOMAC AVE",,38.772780,-77.057450,,,,,,0
2126,5278,"LITTLE RIVER TURNPIKE @ BACKLICK RD",,38.829892,-77.193519,,,,,,0
2127,5294,"BRADDOCK RD @ RED FOX DR W",,38.811000,-77.257770,,,,,,0
2128,5295,"BRADDOCK RD @ KING DAVID BLVD",,38.810880,-77.261850,,,,,,0
2129,5296,"BRADDOCK RD @ BRADFIELD DR",,38.811010,-77.263470,,,,,,0
2130,5300,"BRADDOCK RD @ BRADFIELD DR",,38.810730,-77.263160,,,,,,0
2131,5302,"BRADDOCK RD @ RED FOX DR W",,38.810710,-77.257780,,,,,,0
2132,5303,"BRADDOCK RD @ RED FOX DR",,38.810558,-77.253549,,,,,,0
2133,532,"TELEGRAPH RD @ EAST DR",,38.797070,-77.080940,,,,,,0
2134,5369,"GOSNALL RD @ TYSPRING ST",,38.921995,-77.238577,,,,,,0
2135,5384,"WESTPARK DR @ GREENSBORO DR",,38.925344,-77.233735,,,,,,0
2137,5388,"TYSONS BLVD @ WESTBRANCH DR",,38.924017,-77.222308,,,,,,1
2138,5391,"WESTPARK DR @ JONES BRANCH DR",,38.924589,-77.218224,,,,,,0
2139,5392,"GALLERIA DR @ TYSONS BLVD",,38.922465,-77.220517,,,,,,0
2141,5394,"WESTPARK DR @ JONES BRANCH DR N",,38.925071,-77.218563,,,,,,0
2142,5395,"JONES BRANCH DR @ FREDDIE MAC CTR",,38.931461,-77.224792,,,,,,0
2143,5396,"JONES BRANCH DR @ WEST BRANCH DR",,38.931368,-77.219408,,,,,,0
2144,5397,"7925 JONES BRANCH DR",,38.930249,-77.216874,,,,,,0
2145,5398,"JONES BRANCH DR @ 495 EXPRESS LA RA",,38.928624,-77.216610,,,,,,0
2146,5399,"JONES BRANCH DR @ WESTPARK DR",,38.926622,-77.217683,,,,,,0
2147,5400,"CHAIN BRIDGE RD @ INTERNATIONAL DR",,38.919864,-77.224763,,,,,,0
2148,5401,"TYSONS CORNER METRO BAY E",,38.919876,-77.223064,,,,,,0
2149,5402,"DOLLEY MADISON BLVD @ OLD MEADOW RD",,38.923981,-77.210116,,,,,,0
2150,5405,"ANDERSON RD @ CHAIN BRIDGE RD",,38.926258,-77.205413,,,,,,0
2151,5425,"CHAIN BRIDGE RD @ ANDERSON RD",,38.926145,-77.203550,,,,,,0
2152,5426,"CHAIN BRIDGE RD @ SENECA AVE",,38.926709,-77.201140,,,,,,0
2153,5428,"CHAIN BRIDGE RD @ EVERS DR",,38.929427,-77.194870,,,,,,0
2154,5429,"CHAIN BRIDGE RD @ WASP LA",,38.929665,-77.191355,,,,,,0
2155,5430,"CHAIN BRIDGE RD @ AUDMAR DR",,38.929550,-77.188440,,,,,,0
2156,5431,"CHAIN BRIDGE RD @ WESTMORELAND ST",,38.929664,-77.184836,,,,,,0
2157,5432,"WESTMORELAND ST @ CHAIN BRIDGE RD",,38.928943,-77.184304,,,,,,0
2158,5433,"WESTMORELAND ST @ OLD CHESTERBROOK",,38.926522,-77.182828,,,,,,0
2159,5434,"WESTMORELAND @ ROSEMONT",,38.924297,-77.181911,,,,,,0
2160,5435,"WESTMORELAND @ SOUTHRIDGE",,38.920941,-77.181297,,,,,,0
2161,5436,"WESTMORELAND @ LUMSDEN",,38.919524,-77.180608,,,,,,0
2162,5437,"WESTMORELAND @ VAN FLEET",,38.917721,-77.179410,,,,,,0
2163,5438,"WESTMORELAND @ SOMERVILLE",,38.915211,-77.177553,,,,,,0
2164,5439,"WESTMORELAND @ POOLE",,38.913215,-77.175284,,,,,,0
2165,5440,"WESTMORELAND @ YOUNGBLOOD",,38.912489,-77.174111,,,,,,0
2166,5441,"WESTMORELAND @ MAYFAIR MCLEAN",,38.910026,-77.172789,,,,,,0
2167,5442,"WESTMORELAND @ KIRBY",,38.907449,-77.172730,,,,,,0
2168,5443,"WESTMORELAND @ PLACID",,38.905787,-77.172595,,,,,,0
2169,5444,"WESTMORELAND @ HAYCOCK",,38.903661,-77.172013,,,,,,0
2170,5445,"WESTMORELAND @ PLACID",,38.905165,-77.172205,,,,,,0
2171,5446,"WESTMORELAND @ KIRBY",,38.907165,-77.172574,,,,,,0
2172,5447,"WESTMORELAND ST @ HOPEWOOD DR",,38.908418,-77.172534,,,,,,0
2173,5448,"WESTMORELAND ST @ MAYFAIR MCLEAN CT",,38.910269,-77.172630,,,,,,0
2174,5449,"WESTMORELAND ST @ YOUNGBLOOD ST",,38.912328,-77.173679,,,,,,0
2175,5450,"WESTMORELAND ST @ POOLE LN",,38.913503,-77.175347,,,,,,0
2176,5451,"WESTMORELAND ST @ SOMERVILLE DR",,38.915396,-77.177486,,,,,,0
2177,5452,"WESTMORELAND ST @ VAN FLEET DR",,38.917823,-77.179242,,,,,,0
2178,5453,"WESTMORELAND ST @ DEAN DR",,38.919269,-77.180274,,,,,,0
2179,5454,"WESTMORELAND ST @ FELIX ST",,38.921300,-77.181196,,,,,,0
2180,5455,"WESTMORELAND ST @ ROSEMONT DR",,38.924335,-77.181681,,,,,,0
2181,5456,"WESTMORELAND ST @ OLD CHESTERBROOK",,38.926128,-77.182361,,,,,,0
